변환,CPI,Inflation_rate
2017-11,97.347,-0.7443131417151920
2017-12,97.698,0.3605658109649080
2018-01,98.106,0.41761346189277400
2018-02,98.855,0.7634599310949450
2018-03,98.751,-0.10520459258509500
2018-04,98.931,0.18227663517331700
2018-05,98.979,0.04851866452375560
2018-06,98.779,-0.2020630638822410
2018-07,98.59,-0.19133621518743200
2018-08,99.462,0.8844710416878070
2018-09,100.221,0.7631055076310570
2018-10,100.041,-0.17960307719939700
2018-11,99.33,-0.710708609470112
2018-12,98.988,-0.34430685593476200
2019-01,98.884,-0.10506323998869000
2019-02,99.311,0.43181910116905100
2019-03,99.121,-0.19131818227589000
2019-04,99.481,0.3631924617386820
2019-05,99.652,0.1718921201033340
2019-06,99.491,-0.16156223658331200
2019-07,99.187,-0.3055552763566620
2019-08,99.425,0.23995080000403000
